Estado;Populacao;Capital;Latitude;Longitude
Alabama;5024279;Montgomery;32.3482;-86.2668
Alaska;733391;Juneau;58.4546;-134.1739
Arizona;7151502;Phoenix;32.7506;-111.6707
Arkansas;3011524;Little Rock;37.0726;-97.0385
California;39538223;Sacramento;38.5677;-121.4685
North Carolina;10439388;Raleigh;35.8324;-78.6429
South Carolina;5118425;Columbia;34.0378;-80.9036
Colorado;5773714;Denver;38.8674;-104.7605
Connecticut;3605944;Hartford;41.7661;-72.6834
North Dakota;779094;Bismarck;46.8143;-100.7694
South Dakota;886667;Pierre;44.3748;-100.3205
Delaware;989948;Dover;39.16359;-75.53179
Florida;21538187;Tallahassee;30.4551;-84.2527
Georgia;10711908;Atlanta;33.7628;-84.422
Hawaii;1455271;Honolulu;21.2975;-157.7211
Idaho;1839106;Boise;43.6005;-116.2308
Illinois;12812508;Springfield;39.7709;-89.654
Indiana;6785528;Indianapolis;39.7771;-86.1458
Iowa;3190369;Des Moines;41.5521;-93.7806
Kansas;2937880;Topeka;39.0346;-95.6955
Kentucky;4505836;Frankfort;38.1924;-84.8643
Louisiana;4657757;Baton Rouge;30.442;-91.1311
Maine;1362359;Augusta;33.5214;-81.9547
Maryland;6866769;Annapolis;38.9706;-76.5047
Massachusetts;7029917;Boston;42.3188;-71.0852
Michigan;10077331;Lansing;42.7142;-84.5601
Minnesota;5706494;Saint Paul;44.95239;-93.09488
Mississippi;2961279;Jackson;32.3157;-90.2125
Missouri;6154913;Jefferson City;38.5676;-92.1759
Montana;1084225;Helena;46.5965;-112.0202
Nebraska;1961504;Lincoln;40.8099;-96.6784
Nevada;3104614;Carson City;39.1511;-119.7476
New Hampshire;1377529;Concord;43.2305;-71.5595
New York;20201249;Albany;42.65529;-73.76108
New Jersey;9288994;Trenton;40.2237;-74.7641
New Mexico;2117522;Santa Fe;35.6824;-105.94144
Ohio;11799448;Columbus;39.9862;-82.9855
Oklahoma;3959353;Oklahoma City;35.4676;-97.5136
Oregon;4237256;Salem;44.9233;-123.0244
Pennsylvania;13002700;Harrisburg;40.2752;-76.8843
Rhode Island;1097379;Providence;40.1485;-75.4266
Tennessee;6910840;Nashville;36.1715;-86.7842
Texas;29145505;Austin;30.3005;-97.7522
Utah;3271616;Salt Lake City;40.7776;-111.9311
Vermont;643077;Montpelier;44.2659;-72.5717
Virginia;8631393;Richmond;45.125;-92.5377
West Virginia;1793716;Charleston;32.9067;-80.0722
Washington;7705281;Olympia;47.0417;-122.8959
Wisconsin;5893718;Madison;40.6207;-91.3509
Wyoming;576851;Cheyenne;41.135;-104.7902
