ID do Cliente,Idade,Sexo,Item Vendido,Categoria,Valor da Venda (USD),Localizacao,Tamanho,Cor,Temporada,Avaliacao,Assinatura,Envio,Desconto,Codigo Promocional,Vendas Anteriores,Forma de Pagamento,Frequencia de Vendas
1,55,Homem,Blusa,Roupas,53,Kentucky,G,Cinza,Inverno,31,Sim,Expresso,Sim,Sim,14,Cartao de Credito,Quinzenalmente
2,19,Homem,Sueter,Roupas,64,Maine,G,Marrom,Inverno,31,Sim,Expresso,Sim,Sim,2,Transferencia bancaria,Quinzenalmente
3,50,Homem,Jeans,Roupas,73,Massachusetts,P,Marrom,Primavera,31,Sim,Free Shipping,Sim,Sim,23,Em dinheiro,Semanalmente
4,21,Homem,Sandalhas,Calcados,90,Rhode Island,M,Marrom,Primavera,35,Sim,Next Day Air,Sim,Sim,49,PayPal,Semanalmente
5,45,Homem,Blusa,Roupas,49,Oregon,M,Turquesa,Primavera,27,Sim,Free Shipping,Sim,Sim,31,Em dinheiro,Anualmente
6,46,Homem,Tenis,Calcados,20,Wyoming,M,Branco,Verao,29,Sim,Standard,Sim,Sim,14,PIX,Semanalmente
7,63,Homem,Shirt,Roupas,85,Montana,M,Cinza,Outono,32,Sim,Free Shipping,Sim,Sim,49,Cartao de Debito,Trimestralmente
8,27,Homem,Shorts,Roupas,34,Louisiana,G,Carvao,Inverno,32,Sim,Free Shipping,Sim,Sim,19,Cartao de Debito,Semanalmente
9,26,Homem,Casaco,Agasalhos,97,West Virginia,G,Prateado,Verao,26,Sim,Expresso,Sim,Sim,8,PIX,Anualmente
10,57,Homem,Bolsa,Acessorios,31,Missouri,M,Rosa,Primavera,48,Sim,Frete em 2 dias,Sim,Sim,4,PayPal,Trimestralmente
11,53,Homem,Sapatos,Calcados,34,Arkansas,G,Roxo,Outono,41,Sim,Retirado na loja,Sim,Sim,26,Cartao de Credito,Quinzenalmente
12,30,Homem,Shorts,Roupas,68,Hawaii,P,Oliva,Inverno,49,Sim,Retirado na loja,Sim,Sim,10,PayPal,Quinzenalmente
13,61,Homem,Casaco,Agasalhos,72,Delaware,M,Gold,Inverno,45,Sim,Expresso,Sim,Sim,37,PayPal,Quinzenalmente
14,65,Homem,Vestido,Roupas,51,New Hampshire,M,Violeta,Primavera,47,Sim,Expresso,Sim,Sim,31,Cartao de Debito,Semanalmente
15,64,Homem,Casaco,Agasalhos,53,New York,G,Verde-azulado,Inverno,47,Sim,Free Shipping,Sim,Sim,34,PayPal,Semanalmente
16,64,Homem,Saia,Roupas,81,Rhode Island,M,Verde-azulado,Inverno,28,Sim,Retirado na loja,Sim,Sim,8,Cartao de Credito,Mensalmente
17,25,Homem,Oculos de sol,Acessorios,36,Alabama,P,Cinza,Primavera,41,Sim,Next Day Air,Sim,Sim,44,PIX,Quinzenalmente
18,53,Homem,Vestido,Roupas,38,Mississippi,XG,Lavanda,Inverno,47,Sim,Frete em 2 dias,Sim,Sim,36,Cartao de Debito,Trimestralmente
19,52,Homem,Sueter,Roupas,48,Montana,P,Preto,Verao,46,Sim,Free Shipping,Sim,Sim,17,Transferencia bancaria,Semanalmente
20,66,Homem,Calcas,Roupas,90,Rhode Island,M,Verde,Verao,33,Sim,Standard,Sim,Sim,46,PIX,Quinzenalmente
21,21,Homem,Calcas,Roupas,51,Louisiana,M,Preto,Inverno,28,Sim,Expresso,Sim,Sim,50,Cartao de Credito,A cada 3 meses
22,31,Homem,Calcas,Roupas,62,North Carolina,M,Carvao,Inverno,41,Sim,Retirado na loja,Sim,Sim,22,Cartao de Credito,Trimestralmente
23,56,Homem,Calcas,Roupas,37,California,M,Pessego,Verao,32,Sim,Retirado na loja,Sim,Sim,32,Em dinheiro,Anualmente
24,31,Homem,Calcas,Roupas,88,Oklahoma,XG,Branco,Inverno,44,Sim,Expresso,Sim,Sim,40,Cartao de Credito,Semanalmente
25,18,Homem,Jaqueta,Agasalhos,22,Florida,M,Verde,Outono,29,Sim,Retirado na loja,Sim,Sim,16,Em dinheiro,Semanalmente
26,18,Homem,Moletom,Roupas,25,Texas,M,Prateado,Verao,36,Sim,Expresso,Sim,Sim,14,Transferencia bancaria,Anualmente
